implementation,query_idx,cf_label,alpha,execution_time,distance,probability_cf,probability_f,success,num_changes
Python,50,0,1.5,68.35790848731995,62,0.31854545270136486,0.20478027372480972,True,62
Python,50,0,5.0,28.945854663848877,67,0.4443424986227866,0.08806330563461941,True,67
Python,50,0,20.0,36.26854753494263,74,0.5136442718377638,0.02467378857843002,True,74
Python,50,4,1.5,21.151451587677002,58,0.6092406355388841,0.342746254737312,True,58
Python,50,4,5.0,19.641632080078125,64,0.8135052911608825,0.155350628038945,True,64
Python,50,4,20.0,26.479487419128418,71,0.9318901314458309,0.04622117825684683,True,71
Python,51,0,1.5,16.03799796104431,35,0.5843646016137242,0.33870893143548464,True,35
Python,51,0,5.0,34.57095766067505,39,0.789212296715625,0.1572851465026333,True,39
Python,51,0,20.0,19.778449773788452,45,0.9363039163562354,0.040062493624917976,True,45
Python,51,4,1.5,16.420759677886963,26,0.6361597470521131,0.33575140307296064,True,26
Python,51,4,5.0,15.56443738937378,29,0.8296683862191566,0.15097172622162547,True,29
Python,51,4,20.0,16.88622260093689,33,0.9468474511428987,0.041335131669831514,True,33
Python,100,0,1.5,12.854449987411499,9,0.5798806456351507,0.36421042758840394,True,9
Python,100,0,5.0,20.025207996368408,12,0.7872368881241766,0.14680223251584176,True,12
Python,100,0,20.0,14.01766586303711,15,0.93836877184014,0.04141468594669537,True,15
Python,100,4,1.5,28.016663074493408,27,0.26806542316708615,0.17736506160451954,True,27
Python,100,4,5.0,18.335588693618774,32,0.4331826763455235,0.08001568025788952,True,32
Python,100,4,20.0,18.738337755203247,37,0.3884591414385114,0.018565469095166046,True,37
Python,150,0,1.5,18.86979866027832,25,0.5377675746263896,0.33557575932854433,True,25
Python,150,0,5.0,11.926603078842163,28,0.730572903956974,0.12907520777673281,True,28
Python,150,0,20.0,14.318400621414185,31,0.9125879119355388,0.04288008080069087,True,31
Python,150,4,1.5,112.57229089736938,46,0.30925091675244104,0.20358470951417978,True,46
Python,150,4,5.0,66.65771389007568,51,0.3219589164629284,0.06295192191640961,True,51
Python,150,4,20.0,129.17420840263367,56,0.469842785853257,0.023398579595390653,True,56
Python,200,0,1.5,35.67654895782471,38,0.5756917251562318,0.36742158167218847,True,38
Python,200,0,5.0,42.177584171295166,42,0.796665328828063,0.15692337661561875,True,42
Python,200,0,20.0,32.318809032440186,47,0.9022392109985152,0.04404335358269064,True,47
Python,200,4,1.5,37.762460231781006,33,0.5445752838409319,0.35222787697051616,True,33
Python,200,4,5.0,24.756685256958008,38,0.7744101891044255,0.1521494139488367,True,38
Python,200,4,20.0,27.066486120224,44,0.9156121355050146,0.04574810623938548,True,44
Python,250,0,1.5,40.16699147224426,69,0.28108569681367307,0.17507089835996656,True,69
Python,250,0,5.0,33.02645659446716,73,0.3756781218820575,0.07509676924286478,True,73
Python,250,0,20.0,50.23848009109497,79,0.37326072973052393,0.01637316998091917,True,79
Python,250,4,1.5,22.935138702392578,73,0.3008803516638769,0.19970575717871797,True,73
Python,250,4,5.0,17.69693875312805,78,0.37558425525361294,0.06784433294429348,True,78
Python,250,4,20.0,17.68815565109253,84,0.5261380686980478,0.023522373930673128,True,84
Julia,50,0,1.5,20.49495097960067,62,0.31854545270136486,0.20478027372480972,True,62
Julia,50,0,5.0,8.67385244236782,67,0.4443424986227866,0.08806330563461941,True,67
Julia,50,0,20.0,10.86549876355749,74,0.5136442718377638,0.02467378857843002,True,74
Julia,50,4,1.5,6.350551534413084,58,0.6092406355388841,0.342746254737312,True,58
Julia,50,4,5.0,5.907608089180058,64,0.8135052911608825,0.155350628038945,True,64
Julia,50,4,20.0,7.9403836807165895,71,0.9318901314458309,0.04622117825684683,True,71
Julia,51,0,1.5,4.811620205159108,35,0.5843646016137242,0.33870893143548464,True,35
Julia,51,0,5.0,10.357987164620027,39,0.789212296715625,0.1572851465026333,True,39
Julia,51,0,20.0,5.920262311724869,45,0.9363039163562354,0.040062493624917976,True,45
Julia,51,4,1.5,4.934664810462754,26,0.6361597470521131,0.33575140307296064,True,26
Julia,51,4,5.0,4.683269284551212,29,0.8296683862191566,0.15097172622162547,True,29
Julia,51,4,20.0,5.049653845522122,33,0.9468474511428987,0.041335131669831514,True,33
Julia,100,0,1.5,3.863886767015169,9,0.5798806456351507,0.36421042758840394,True,9
Julia,100,0,5.0,6.022864604798358,12,0.7872368881241766,0.14680223251584176,True,12
Julia,100,0,20.0,4.209662070373799,15,0.93836877184014,0.04141468594669537,True,15
Julia,100,4,1.5,8.392258365061165,27,0.26806542316708615,0.17736506160451954,True,27
Julia,100,4,5.0,5.504269899256563,32,0.4331826763455235,0.08001568025788952,True,32
Julia,100,4,20.0,5.612273772624682,37,0.3884591414385114,0.018565469095166046,True,37
Julia,150,0,1.5,5.669676173866135,25,0.5377675746263896,0.33557575932854433,True,25
Julia,150,0,5.0,3.5826062102415763,28,0.730572903956974,0.12907520777673281,True,28
Julia,150,0,20.0,4.298002464560917,31,0.9125879119355388,0.04288008080069087,True,31
Julia,150,4,1.5,33.7778311664008,46,0.30925091675244104,0.20358470951417978,True,46
Julia,150,4,5.0,19.976820162933244,51,0.3219589164629284,0.06295192191640961,True,51
Julia,150,4,20.0,38.735175006398215,56,0.469842785853257,0.023398579595390653,True,56
Julia,200,0,1.5,10.696233589984034,38,0.5756917251562318,0.36742158167218847,True,38
Julia,200,0,5.0,12.646374127049423,42,0.796665328828063,0.15692337661561875,True,42
Julia,200,0,20.0,9.69676053781103,47,0.9022392109985152,0.04404335358269064,True,47
Julia,200,4,1.5,11.332181784460474,33,0.5445752838409319,0.35222787697051616,True,33
Julia,200,4,5.0,7.431911569304182,38,0.7744101891044255,0.1521494139488367,True,38
Julia,200,4,20.0,8.106117657212097,44,0.9156121355050146,0.04574810623938548,True,44
Julia,250,0,1.5,12.063121841593503,69,0.28108569681367307,0.17507089835996656,True,69
Julia,250,0,5.0,9.909524091383826,73,0.3756781218820575,0.07509676924286478,True,73
Julia,250,0,20.0,15.071286717364423,79,0.37326072973052393,0.01637316998091917,True,79
Julia,250,4,1.5,6.883115223136567,73,0.3008803516638769,0.19970575717871797,True,73
Julia,250,4,5.0,5.328774493577499,78,0.37558425525361294,0.06784433294429348,True,78
Julia,250,4,20.0,5.299900257139309,84,0.5261380686980478,0.023522373930673128,True,84
