"","x"
"1","0610005C13Rik"
"2","0610007N19Rik"
"3","0610007P14Rik"
"4","0610009B22Rik"
"5","0610009D07Rik"
"6","0610009E02Rik"
"7","0610009L18Rik"
"8","0610009O20Rik"
"9","0610010F05Rik"
"10","0610010K14Rik"
"11","0610011F06Rik"
"12","0610030E20Rik"
"13","0610031J06Rik"
"14","0610037L13Rik"
"15","0610039K10Rik"
"16","0610040B09Rik"
"17","0610040F04Rik"
"18","0610040J01Rik"
"19","1100001G20Rik"
"20","1110001A16Rik"
"21","1110001J03Rik"
"22","1110002E22Rik"
"23","1110002L01Rik"
"24","1110004E09Rik"
"25","1110004F10Rik"
"26","1110006G14Rik"
"27","1110007C09Rik"
"28","1110008F13Rik"
"29","1110008J03Rik"
"30","1110008L16Rik"
"31","1110008P14Rik"
"32","1110012L19Rik"
"33","1110017D15Rik"
"34","1110019D14Rik"
"35","1110020A21Rik"
"36","1110028F11Rik"
"37","1110032A03Rik"
"38","1110034G24Rik"
"39","1110036E04Rik"
"40","1110037F02Rik"
"41","1110038B12Rik"
"42","1110038F14Rik"
"43","1110046J04Rik"
"44","1110051M20Rik"
"45","1110054M08Rik"
"46","1110057K04Rik"
"47","1110058L19Rik"
"48","1110059E24Rik"
"49","1110059G10Rik"
"50","1110065P20Rik"
"51","1190002N15Rik"
"52","1190005I06Rik"
"53","1190007I07Rik"
"54","1200014J11Rik"
"55","1300002E11Rik"
"56","1300002K09Rik"
"57","1500002O10Rik"
"58","1500009L16Rik"
"59","1500011B03Rik"
"60","1500011K16Rik"
"61","1500012F01Rik"
"62","1500017E21Rik"
"63","1500026H17Rik"
"64","1500035N22Rik"
"65","1600002H07Rik"
"66","1600002K03Rik"
"67","1600010F14Rik"
"68","1600012H06Rik"
"69","1600014C10Rik"
"70","1600016N20Rik"
"71","1600020E01Rik"
"72","1600029D21Rik"
"73","1600029I14Rik"
"74","1700001C02Rik"
"75","1700001G17Rik"
"76","1700001L19Rik"
"77","1700003E16Rik"
"78","1700003F17Rik"
"79","1700003M02Rik"
"80","1700006P19Rik"
"81","1700007G11Rik"
"82","1700007K13Rik"
"83","1700008O03Rik"
"84","1700009P17Rik"
"85","1700010I14Rik"
"86","1700011J10Rik"
"87","1700012B09Rik"
"88","1700012B15Rik"
"89","1700013F07Rik"
"90","1700013G23Rik"
"91","1700016C15Rik"
"92","1700016G14Rik"
"93","1700016H13Rik"
"94","1700016K19Rik"
"95","1700017B05Rik"
"96","1700018A04Rik"
"97","1700019D03Rik"
"98","1700019G17Rik"
"99","1700019L03Rik"
"100","1700020I14Rik"
"101","1700021F05Rik"
"102","1700021J08Rik"
"103","1700021K19Rik"
"104","1700022I11Rik"
"105","1700023H06Rik"
"106","1700023L04Rik"
"107","1700024G13Rik"
"108","1700024N20Rik"
"109","1700025G04Rik"
"110","1700026D08Rik"
"111","1700026D11Rik"
"112","1700026J14Rik"
"113","1700026L06Rik"
"114","1700028K03Rik"
"115","1700028P14Rik"
"116","1700029H14Rik"
"117","1700029I15Rik"
"118","1700029J07Rik"
"119","1700030C10Rik"
"120","1700030J22Rik"
"121","1700030K09Rik"
"122","1700034E13Rik"
"123","1700037C18Rik"
"124","1700037H04Rik"
"125","1700039E22Rik"
"126","1700040L02Rik"
"127","1700041G16Rik"
"128","1700049E15Rik"
"129","1700049G17Rik"
"130","1700052N19Rik"
"131","1700055N04Rik"
"132","1700056E22Rik"
"133","1700056N10Rik"
"134","1700061G19Rik"
"135","1700064E03Rik"
"136","1700066B19Rik"
"137","1700066J24Rik"
"138","1700066M21Rik"
"139","1700071M16Rik"
"140","1700084C06Rik"
"141","1700084J12Rik"
"142","1700086P04Rik"
"143","1700088E04Rik"
"144","1700093K21Rik"
"145","1700094D03Rik"
"146","1700095J03Rik"
"147","1700101E01Rik"
"148","1700101I11Rik"
"149","1700102P08Rik"
"150","1700109H08Rik"
"151","1700112E06Rik"
"152","1700112M01Rik"
"153","1700113A16Rik"
"154","1700123M08Rik"
"155","1700123O20Rik"
"156","1810009A15Rik"
"157","1810010H24Rik"
"158","1810011H11Rik"
"159","1810011O10Rik"
"160","1810012K08Rik"
"161","1810013L24Rik"
"162","1810014B01Rik"
"163","1810019D21Rik"
"164","1810019J16Rik"
"165","1810020O05Rik"
"166","1810021B22Rik"
"167","1810022K09Rik"
"168","1810024B03Rik"
"169","1810026J23Rik"
"170","1810030O07Rik"
"171","1810032O08Rik"
"172","1810033B17Rik"
"173","1810034E14Rik"
"174","1810037I17Rik"
"175","1810043G02Rik"
"176","1810043H04Rik"
"177","1810046K07Rik"
"178","1810055G02Rik"
"179","1810058I24Rik"
"180","1810058N05Rik"
"181","1810059H22Rik"
"182","1810062O18Rik"
"183","1810063I02Rik"
"184","1810064F22Rik"
"185","2010001A14Rik"
"186","2010001M06Rik"
"187","2010002M12Rik"
"188","2010003O02Rik"
"189","2010005H15Rik"
"190","2010007H06Rik"
"191","2010012O05Rik"
"192","2010012P19Rik"
"193","2010013B24Rik"
"194","2010015L04Rik"
"195","2010016I18Rik"
"196","2010107E04Rik"
"197","2010107G12Rik"
"198","2010107G23Rik"
"199","2010109I03Rik"
